term,occurences,type,link
apple,2565,org,http://dbpedia.org/resource/Apple_Inc.
techcrunch,197,org,http://dbpedia.org/resource/AOL
gsm,46,org,http://dbpedia.org/resource/GSM
google,1659,org,http://dbpedia.org/resource/Google_Books
htc,221,org,http://dbpedia.org/resource/HTC
qualcomm,115,org,http://dbpedia.org/resource/Qualcomm
regnum,208,org,http://dbpedia.org/resource/MI5
высокий школа экономика,264,org,link_not_found
госдума,11830,org,http://dbpedia.org/resource/State_Duma
российский экономический школа,46,org,link_not_found
reuters,3802,org,http://dbpedia.org/resource/Reuters
владимир путин,15342,pers,http://dbpedia.org/resource/Vladimir_Putin
сергей гуриев,56,pers,http://dbpedia.org/resource/Sergei_Guriev
дворкович,305,pers,http://dbpedia.org/resource/Arkady_Dvorkovich
аркадий дворковича,150,pers,link_not_found
риа новость,25716,org,link_not_found
время новость,90,org,link_not_found
газпром,4411,org,http://dbpedia.org/resource/Gazprom
нурсултан назарбаев,140,pers,http://dbpedia.org/resource/Nursultan_Nazarbayev
хромой лошадь,94,org,link_not_found
гувд,1353,org,http://dbpedia.org/resource/Federal_Migration_Service
коммерсант,3007,org,http://dbpedia.org/resource/Hermitage_Capital_Management
госпожнадзора,48,org,link_not_found
интерфакс,25067,org,http://dbpedia.org/resource/Interfax
гу,3637,org,http://dbpedia.org/resource/J1_League
мчс,4657,org,http://dbpedia.org/resource/Ministry_of_Emergency_Situations_(Russia)
bbc news,857,org,http://dbpedia.org/resource/BBC_News_(TV_channel)
итар-тасс,4446,org,http://dbpedia.org/resource/TASS
росбалт,445,org,http://dbpedia.org/resource/Children-404
мерседес,260,org,http://dbpedia.org/resource/Mercedes-Benz
ввс,2442,org,http://dbpedia.org/resource/Strategic_Air_Command
merrill lynch,75,org,http://dbpedia.org/resource/Merrill_Lynch_&_Co.
йельский университет,83,org,http://dbpedia.org/resource/Yale_University
bank of america,219,org,http://dbpedia.org/resource/Bank_of_America_Home_Loans
morgan stanley,301,org,http://dbpedia.org/resource/Morgan_Stanley_Wealth_Management
европейский космический агентство,273,org,link_not_found
фобос,84,pers,http://dbpedia.org/resource/Anteros
вмс,1029,org,http://dbpedia.org/resource/United_States_Navy
вмф,645,org,http://dbpedia.org/resource/Russian_Navy
военно-морской сила,78,org,link_not_found
мособлсуд,54,org,link_not_found
нтв,551,org,http://dbpedia.org/resource/NTV_(Russia)
анастасия,70,pers,http://dbpedia.org/resource/Anastasia_Rodionova
вымпелком,497,org,http://dbpedia.org/resource/VEON
мегафон,734,org,http://dbpedia.org/resource/MegaFon
роскомнадзор,273,org,http://dbpedia.org/resource/Twitter
ведомость,5058,org,link_not_found
мтс,691,org,http://dbpedia.org/resource/Second
дмитрий медведев,7479,pers,http://dbpedia.org/resource/Dmitry_Medvedev
лдпр,2733,org,http://dbpedia.org/resource/Liberal_Democratic_Party_of_Russia
омон,762,org,http://dbpedia.org/resource/Ministry_of_Internal_Affairs_(Russia)
жириновский,519,pers,http://dbpedia.org/resource/Vladimir_Zhirinovsky
владимир жириновский,1084,pers,http://dbpedia.org/resource/Vladimir_Zhirinovsky
мэа,58,org,http://dbpedia.org/resource/International_Energy_Agency
международный энергетический агентство (мэа),64,org,link_not_found
скп,888,org,http://dbpedia.org/resource/Motor_České_Budějovice
мосгорсуд,1136,org,http://dbpedia.org/resource/Moscow_City_Court
гибдд,2110,org,http://dbpedia.org/resource/Oryol_Law_Institute
симоновский суд,57,org,link_not_found
анатолий багмет,39,pers,link_not_found
мосгордума,592,org,http://dbpedia.org/resource/Moscow_City_Duma
октябрьский,48,org,http://dbpedia.org/resource/FC_Devon_Oktyabrsky
российский газета,1077,org,link_not_found
сми,10785,org,http://dbpedia.org/resource/Falkirk_F.C.
управление дело президент,103,org,link_not_found
макаров,297,pers,http://dbpedia.org/resource/Sergei_Makarov_(ice_hockey)
afp,987,org,http://dbpedia.org/resource/Agence_France-Presse
british airways,92,org,http://dbpedia.org/resource/British_Airways
сечин,453,pers,http://dbpedia.org/resource/Igor_Sechin
игорь сечин,900,pers,http://dbpedia.org/resource/Igor_Sechin
defence talk,57,org,link_not_found
военно-воздушный сила,108,org,link_not_found
американский космический агентство,129,org,link_not_found
хаббл,167,org,"http://dbpedia.org/resource/The_Queen's_College,_Oxford"
nasa,789,org,http://dbpedia.org/resource/NASA
сбербанк,3233,org,http://dbpedia.org/resource/Sberbank
асв,386,org,http://dbpedia.org/resource/Hetman_Petro_Sahaidachnyi_National_Ground_Forces_Academy
агентство по страхование вклад (асв),283,org,link_not_found
втб,1790,org,http://dbpedia.org/resource/BC_UNICS
вэбу,114,org,link_not_found
evraz,61,org,http://dbpedia.org/resource/Evraz
внешэкономбанк,601,org,http://dbpedia.org/resource/VEB.RF
вэба,398,org,link_not_found
вэб,523,org,http://dbpedia.org/resource/VEB.RF
evraz group,39,org,http://dbpedia.org/resource/Evraz
александр абрамов,51,pers,http://dbpedia.org/resource/Alexander_Abramov
абрамович,90,pers,http://dbpedia.org/resource/Roman_Abramovich
роман абрамович,185,pers,http://dbpedia.org/resource/Roman_Abramovich
вэбом,76,org,link_not_found
нрб,41,org,http://dbpedia.org/resource/Soviet_Armed_Forces
связь-банк,75,org,link_not_found
национальный резервный банк,39,org,link_not_found
глобэкс,44,org,link_not_found
александр лебедев,149,pers,http://dbpedia.org/resource/Alexander_Lebedev
воздушно-десантный войско,65,org,link_not_found
минэкономразвития,3541,org,http://dbpedia.org/resource/Ministry_of_Economic_Development_(Russia)
росстат,513,org,http://dbpedia.org/resource/Federal_State_Statistics_Service_(Russia)
мвд,10037,org,http://dbpedia.org/resource/Gulag
октябрьский районный суд,66,org,link_not_found
за право человек,94,org,link_not_found
увд,852,org,http://dbpedia.org/resource/Belarus_Free_Theatre
милиционер,44,pers,http://dbpedia.org/resource/Vitaliy_Zakharchenko
дымовского,41,pers,link_not_found
лев пономарёв,136,pers,http://dbpedia.org/resource/Lev_Ponomaryov
bloomberg,3289,org,http://dbpedia.org/resource/Bloomberg_News
barclays,173,org,http://dbpedia.org/resource/Barclays
royal bank of scotland,67,org,http://dbpedia.org/resource/NatWest_Group
gamecube,36,org,http://dbpedia.org/resource/Nintendo
activision,246,org,http://dbpedia.org/resource/Activision
gamerankings,38,org,link_not_found
xbox,2185,org,http://dbpedia.org/resource/Xbox_Live_Arcade
gamespot,225,org,http://dbpedia.org/resource/Team_SoloMid
science,623,org,http://dbpedia.org/resource/Citizen_science
cassini,81,org,http://dbpedia.org/resource/Forward_Madison_FC
the daily telegraph,192,org,http://dbpedia.org/resource/Spice_Girls
совет,296,org,http://dbpedia.org/resource/Council_of_the_European_Union
европарламент,256,org,http://dbpedia.org/resource/Ulster_Unionist_Party
еврокомиссия,1078,org,http://dbpedia.org/resource/Southern_Gas_Corridor
чоп,213,org,http://dbpedia.org/resource/FC_Podolye_Podolsky_district
playstation,180,org,http://dbpedia.org/resource/PlayStation_Network
the astrophysical journal,136,org,link_not_found
астрономы,73,pers,http://dbpedia.org/resource/Astronomer
следственный комитет,7574,org,http://dbpedia.org/resource/Belarusian_Association_of_Journalists
тайга.инфо,105,org,link_not_found
тэц,96,org,http://dbpedia.org/resource/Moscow_Power_Engineering_Institute
мкс,1092,org,http://dbpedia.org/resource/International_Criminal_Court
wired,141,org,http://dbpedia.org/resource/Porcupine_Tree
russia today,104,org,http://dbpedia.org/resource/RT_UK
tele2,179,org,http://dbpedia.org/resource/Hammarby_Fotboll
москвич,47,org,http://dbpedia.org/resource/Moskvitch
дед мороз,61,pers,http://dbpedia.org/resource/Gérard_Jugnot
abc news,41,org,http://dbpedia.org/resource/ABC_News_(Australia)
arcelormittal,36,org,http://dbpedia.org/resource/ArcelorMittal
